Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
3/2/2015,"Peru, Arequipa (Sabancaya volcano)",3.9,,,--,--,1 - 2,,0,--
3/3/2015,"China, Yunnan (aftershock)",4.5,10,,--,18,2,,0,--
3/6/2015,"Morocco, Oriental",4.1,,,--,--,1 - 2,0,1,--
3/8/2015,"Serbia, Central Serbia",4.6,3,VI,--,--,2,100,0,--
3/9/2015,"China, Yunnan",4.5,12,,--,4,3,100,1,--
3/10/2015,"Colombia, Santander",6.6,161,,--,9,4 - 5,,205,--
3/12/2015,"Peru, Arequipa (Sabancaya volcano)",3.5,,,--,--,2 - 3,35,0,--
3/14/2015,"China, Anhui",4.3,10,VI,2,13,4,11079,155,--
3/15/2015,"China, Shandong",2.4,7,,--,--,2,,0,--
3/15/2015,"Germany, Hesse",2.8,3,,--,--,1,0,0,--
3/15/2015,"USA, Virginia",2.8,5,IV,--,--,1,1,0,--
3/15/2015,"Colombia, Huila",3.4,0,,--,--,1,1,0,--
3/15/2015,"OS Indonesia, Sulawesi Tengah",6.1,,,--,--,2 - 3,,0,--
3/16/2015,"Venezuela, Táchira",4,5,,--,--,1,,0,--
3/18/2015,OS Peru. Arequipa,4.8,45,,--,--,1 - 2,,0,--
3/18/2015,"Algeria, Batna",3.9,,,--,--,1,1,0,--
3/20/2015,"Mexico, Puebla",5.4,65,,--,--,1,1,0,--
3/21/2015,"Algeria, Batna",4.8,,,--,--,2,50,0,--
3/22/2015,"China, Anhui (aftershock)",3.6,10,,--,--,1 - 2,10,0,--
3/22/2015,"China, Guizhou",3.3,8,,--,--,1 - 2,10,0,--
3/23/2015,"Chile, Arica",6.4,121,VII,--,--,1,,0,--
3/23/2015,"India, Uttar Pradesh",3,,IV,--,--,1 - 2,10,0,--
3/24/2015,"Netherlands, Groningen","[2,3]",,,--,--,1 - 2,156,0,--
3/24/2015,"Pakistan, Sindh",3.4,,,--,8,3,,2,--
3/26/2015,"Brazil, Ceara",3,,,--,--,1 - 2,,0,--
3/26/2015,"Indonesia, Bali",4.1,10,,--,--,1 - 2,,0,--
3/29/2015,"Hungary, Borsod-Abaúj-Zemplén",3.2,,,--,--,1 - 2,3,0,--
3/29/2015,"OS Papua New Guinea, New Britain",7.5,30,VII,--,--,1,,0,50 cm
3/30/2015,"China, Guizhou",5.5,7,VII,--,4,3,3100,0,--
3/30/2015,"Philippines, Bohol (aftershock)",4.9,7,,--,--,1,1,0,--
3/31/2015,"Peru, Arequipa  ",3.5,,,--,--,1,2,0,--
4/1/2015,"India, Uttarakhand",5.1,,,--,8,3,,,--
4/2/2015,"OS Indonesia, Bengkulu",5.1,,,--,--,1,1,0,--
4/7/2015,"China, Xizang",4.9,10,,--,--,2,100,0,--
4/8/2015,"USA, Oklahoma","[4,3]",5,VI,--,--,1,1,0,--
4/11/2015,"Colombia, Santander",4.6,9,,--,--,2,52,0,--
