Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
12/7/2015,"Kyrgyzstan, Naryn",5.5,26,V ,--,--,3,122,20,--
12/8/2015,"Italy, Sizily (Etna)",3.8,3,,--,--,1,0,0,--
12/9/2015,"OS Indonesia, Maluku",6.9,40,V,--,--,--,0,0,10 cm
12/9/2015,"Turkey, Malatya",4.5,5,,--,--,2,,0,--
12/15/2015,"India, Jharkhand",4.2,,,--,,1 - 2,,0,--
12/15/2015,"Mexico, Jalisco (Guadalajara area)",4.4,10,,--,--,1,12,0,--
12/17/2015,"Mexico, Chiapas ",6.6,90,,1,--,2 - 3,,2,--
12/18/2015,"Nepal, Far Western",5.5,,,,,1 - 2,,,--
12/20/2015,"Indonesia, Kalimantan Utara",6.1,10,VII,1,10,3,,7,--
12/21/2015,"South Korea, Jeollabuk-Do",3.9,7,,--,--,1,2,0,--
12/21/2015,"Bolivia, Santa Cruz",4.5,4,,--,--,1 - 2,10,0,--
12/22/2015,"Germany, North Rhine Westfalia","[2,4]",1,V,--,--,1,30,0,--
12/23/2015,"China, Xinjiang",4.2,7,,--,--,1,12,0,--
12/24/2015,"Vietnam, Thua Thien Hue",3.2,,,--,--,1 - 2,,0,--
12/25/2015,"China, Shandong",[4],0,,--,--,1,,0,--
12/25/2015,"Colombia, Cauca (Puracé volcano)",3.9,,,--,--,1,6,0,--
12/25/2015,"Afghanistan, Badakhshan (aftershock)",6.2,191,,6,119,3 - 4,103,6,--
12/29/2015,"India, Jammu and Kashmir",3.2,,,--,--,1,1,0,--
12/29/2015,"USA, Oklahoma",4.3,7,V,--,--,1 - 2,,0,--
12/29/2015,"New Zealand, Manawatu-Wanganui",4.7,22,,--,--,1,1,0,--
12/30/2015,"Canada, British Colombia",4.9,38,IV,--,--,1,2,0,--
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
