Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
12.02.2019,Turkey,Carikiri,4.9,Earthquake,tectonic,5,,40.57,33.01,0,0,0,0.038,10,,--
14.02.2019,Ecuador,Carchi,4.8,Earthquake,tectonic,5,,0.65,-77.78,0,0,0,0.136,40,0,--
14.02.2019,Peru,Junin,5.4,Earthquake,tectonic,,,"-12,185",-74.33,0,2,0,0.199,8,0,--
14.02.2019,Colombia,Choco,4.6,Earthquake,tectonic,,,5.71,-76.14,0,0,0,0.004,1,0,--
15.02.2019,USA,Utah,3.8,Earthquake,tectonic,6,,40.47,-111.94,0,0,0,0.004,1,0,--
20.02.2019,Thailand,Lampang,4.9,EQ sequence,tectonic,,,19.26,99.61,0,0,0,0.277,90,2,--
20.02.2019,Turkey,Cannakale,5,Earthquake,tectonic,5,,39.6,26.42,0,27,,0.983,192,0,--
21.02.2019,Japan,Hokkaido,5.5,Aftershock,tectonic,31,JMA 6-,42.81,141.95,0,6,0,0.403,1,0,--
22.02.2019,Ecuador,Pastaza,7.5,Earthquake,tectonic,132,VI,-2.20,-77.02,1,9,40,0.869,224,10,--
,,,7.5,,,,,,,,,,0.023,6,,--
,,,7.5,,,,,,,0,0,40,0.342,17,10,--
,,,7.5,,,,,,,1,9,,0.788,201,,--
22.02.2019,Ecuador,Guayas,5.5,Earthquake,tectonic (triggered),82,VI,-2.30,-79.73,0,0,0,0.020,5,0,--
23.02.2019,China,Sichuan,4.7,Earthquake,Hydraulic Fracturing,5,,29.47,104.49,0,0,600,1.412,1500,,--
25.02.2019,China,Sichuan,4.9,Earthquake,Hydraulic Fracturing,5,VII,29.48,104.49,2,13,3200,2.909,44000,11000,--
27.02.2019,United Kingdom,England,3.1,Earthquake,tectonic,2,V,"51,164",-0.246,0,0,0,0.008,2,0,--
27.02.2019,Iran,Ilam,4.4,Earthquake,tectonic,9,,32.90,47.47,0,20,0,0.796,20,0,--
28.02.2019,Indonesia,Sumatra Barat,5.4,Earthquake,tectonic,,,-1.40,101.55,0,61,190,1.376,316,29,--
01.03.2019,India,Maharashtra,4.3,EQ Swarm,tectonic,2,,19.9,72.8,0,0,0,0.165,50,0,--
01.03.2019,Peru,Puno,7.0,Earthquake,tectonic,257,VI,"-14,684","-70,127",1,2,,0.431,21,0,--
