Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
21.09.2019,Albania,Durres,"5,8",earthquake,tectonic,18,VII,41.42,19.51,0,132,,1.693,1500,35,--
24.09.2019,USA,Puerto Rico,6.0,earthquake,tectonic,10,V,"19,077","-67,270",0,0,0,0.038,10,0,--
24.09.2019,Turkey,Istanbul,"4,6",earthquake,tectonic,5,V,40.88,28.21,0,0,0,0.004,1,0,--
24.09.2019,Iran,Khuzestan,"4,7",earthquake,tectonic,12,VI,31.88,49.74,0,5,0,0.381,15,0,--
24.09.2019,Pakistan,Azad Kashmir,"5,6",earthquake,tectonic,8,VIII,33.11,73.77,39,746,10000,2.717,5841,1765,--
26.09.2019,Indonesia,Maluku Utara,"6,5",earthquake,tectonic,10,VII,-3.42,128.37,41,1578,103301,3.400,10155,2712,--
26.09.2019,Colombia,Antioquia,"4,0",earthquake,tectonic,,,6.67,-74.97,0,0,0,0.004,1,0,--
26.09.2019,Pakistan,Azad Kashmir,"4,7",aftershock,tectonic,6,,33.16,73.73,0,92,0,1.386,,,--
26.09.2019,Turkey,Istanbul,"5,7",EQ Sequence,tectonic,11,VI,40.87,28.21,2,47,,2.030,10000,,--
26.09.2019,Chile,Los Lagos,6.1,earthquake,tectonic,128,,-40.81,-72.12,1,0,0,0.301,0,0,--
29.09.2019,Philippines,Mindanao,"6,2",earthquake,tectonic,68,,5.71,126.54,0,0,0,0.004,1,,--
29.09.2019,Chile,Maule,"6,7",earthquake,tectonic,24,,-35.47,-72.91,1,0,0,0.301,,,--
01.10.2019,New Zealand,Hawke's Bay,"5,4",earthquake,tectonic,27,,-39.11,177.80,0,0,0,0.023,6,0,--
02.10.2019,China,Guizhou,"4,9",earthquake,tectonic,10,,28.4,108.38,0,0,,1.863,7800,,--
03.10.2019,Poland,Silesia,"2,6",rockburst,mining,1,,50.25,18.8,1,8,0,0.605,,0,--
03.10.2019,Greece,Southern Aegean,"5,1",earthquake,tectonic,20,,36.24,28.49,0,0,0,0.004,1,0,--
03.10.2019,Iran,Fars,"4,2",earthquake,tectonic,10,,28.45,53.66,0,0,0,0.038,10,0,--
03.10.2019,India,Manipur,"4,9",earthquake,tectonic,80,,24.77,93.94,0,2,0,0.181,1,0,--
05.10.2019,Pakistan,Azad Kashmir,"3,8",aftershock,tectonic,,,33.11,73.77,1,2,0,0.404,0,1,--
07.10.2019,Italy,Calabria,"4,0",earthquake,tectonic,20,,38.9,16.45,0,0,0,0.008,2,0,--
10.10.2019,Indonesia,Maluku,5.2,aftershock,tectonic,,,-3.57,128.26,1,2,,0.543,100,2,--
12.10.2019,China,Guangxi,"4,6",earthquake,tectonic,,,"22,037","110,303",0,0,59,0.366,26,0,--
12.10.2019,Iran,Khuzestan,"4,6",earthquake,tectonic,7,,32.38,49.75,0,0,,0.056,15,,--
13.10.2019,India,Rajasthan,"4,5",earthquake,tectonic,,,28.00,73.40,0,0,0,0.038,10,0,--
15.10.2019,USA,California,"4,5",earthquake,tectonic,14,VI,37.94,-122.01,0,0,0,0.004,1,,--
16.10.2019,Philippines,North Cotabato,"6,3",EQ sequence,tectonic,9,VIII,6.76,125.01,7,215,8295,2.487,5655,1312,--
17.10.2019,India,Gujarat,"2,7",EQ swarm,tectonic,,,20.83,73.35,0,0,0,0.004,1,0,--
18.10.2019,Indonesia,Maluku,"4,0",aftershock,tectonic,,,-3.56,128.35,0,0,0,0.008,2,0,--
19.10.2019,Panama,Los Santos,"4,2",earthquake,tectonic,12,,7.32,-80.38,0,0,0,0.004,1,0,--
19.10.2019,Fiji,Eastern Division,"5,3",earthquake,tectonic,,,-18.88,"178,084",0,0,0,0.038,10,0,--
21.10.2019,Iran,Hormozgan,"5,6",earthquake,tectonic,10,,27.05,54.97,0,0,0,0.165,50,0,--
21.10.2019,Austria,Tyrol,"4,0",earthquake,tectonic,12,V,47.54,12.21,0,0,0,0.020,5,0,--
,,,"4,0",,,,V,,,0,0,0,0.008,2,0,--
24.10.2019,El Salvador,Usulutan,"2,2",earthquake,tectonic,5,,13.54,-88.51,0,0,0,0.004,1,0,--
25.10.2019,Spain,Andalucia,"4,5",EQ swarm,tectonic,12,V,37.01,-5.27,0,0,0,0.008,2,0,--
27.10.2019,China,Gansu,"5,7",earthquake,tectonic,10,VII,35.1,102.69,0,21,,1.572,3272,28,--
29.10.2019,Russia,Novosibirsk,"4,5",earthquake,mining,1,,54.68,83.62,0,0,0,0.004,1,0,--
29.10.2019,Philippines,North Cotabato,"6,6",EQ sequence,tectonic,7,VII,6.78,125.04,24,563,168576,3.629,21681,25795,--
30.10.2019,DR Congo,Sud Kivu,"5,3",earthquake,tectonic,,,-2.84,28.69,,,,0.013,,1,--
31.10.2019,Philippines,North Cotabato,"6,5",EQ sequence,tectonic,7,VIII,6.96,125.22,/9,/see Oct29,/see Oct29,3.629,/see Oct29,/see Oct29,--
31.10.2019,South Africa,KwaZulu-Natal,"4,3",earthquake,tectonic,,,-30.51,30.08,0,0,0,0.004,1,0,--
31.10.2019,Iran,Semnan,"4,3",earthquake,tectonic,2,,35.35,53.26,,,,0.026,,2,--
01.11.2019,Albania,Korçë,"4,8",earthquake,tectonic,,,40.47,20.75,0,0,,0.183,30,8,--
02.11.2019,Bosnia-Herzegowina,Central Bosnia,"4,7",earthquake,tectonic,,,44.27,17.52,0,0,0,0.073,20,0,--
06.11.2019,Iran,Hormozgan,"5,4",earthquake,tectonic,16,,27.23,55.11,0,0,0,0.038,10,0,--
07.11.2019,Italy,Lazio,"4,4",earthquake,tectonic,14,V,41.78,13.61,0,0,0,0.020,5,0,--
07.11.2019,Iran,East Azerbaijan,"5,9",earthquake,tectonic,8,,37.73 ,47.61,8,584,13348,2.680,5000,1000,--
11.11.2019,France,Drôme,"5,1",earthquake,under investigation,9,VII,44.57,4.61,0,4,1500,1.884,2089,900,--
12.11.2019,Indonesia,Maluku,"5,2",aftershock,tectonic,,,-3.48,128.36,2,9,,1.133,900,0,--
12.11.2019,France,Bas-Rhin,"3,0",earthquake,geothermal plant,4,V,48.61,7.79,0,0,0,0.008,2,0,--
,,,"3,0",,,,,,,0,0,0,0.004,1,0,--
12.11.2019,El Salvador,San Salvador,"3,9",earthquake,tectonic,,V,13.71,-89.32,0,0,0,0.012,3,0,--
12.11.2019,Myanmar,Yangoon,"4,1",earthquake,tectonic,,V,16.75,96.19,0,0,0,0.136,40,0,--
13.11.2019,Indonesia,Jawa Timur,"2,4",volcano-tectonic,,,,-8.06,113.36,0,0,0,0.046,12,0,--
14.11.2019,Indonesia,Bali,"5,0",earthquake,tectonic,10,,-8.16,114.90,0,0,0,0.420,177,0,--
14.11.2019,Indonesia,Molucca Sea,"7,0",earthquake,tectonic,27,VI,1.60,126.36,1,3,,0.490,36,0,11 cm
15.11.2019,Indonesia,Maluku,"4,5",aftershock,tectonic,,,-3.48,128.36,0,0,,0.056,15,0,--
17.11.2019,Morocco,Fès-Meknès,"5,1",earthquake,tectonic,,,32.65 ,-4.32,0,0,0,0.038,10,0,--
18.11.2019,India,Gujarat,"4,0",earthquake,tectonic,,,23.6,70.3,0,0,0,0.056,15,0,--
18.11.2019,Philippines,Bukidnon,5.9,earthquake,tectonic,5,VII,7.65,125.04 ,0,16,744,1.565,416,459,--
19.11.2019,Iran,West Azerbaijan,4.5,earthquake,tectonic,,,38.54,44.4,0,0,0,0.020,5,0,--
19.11.2019,Nepal,Far Western,"4,9",earthquake,tectonic,12,,29.36,81.22,0,0,4,0.130,20,3,--
20.11.2019,Germany,Lower Saxony,"3,2",earthquake,gas extraction,5,IV,52.96,9.29,0,0,0,0.012,3,0,--
20.11.2019,Germany,Lower Saxony,3,earthquake,gas extraction,5,IV,52.96,9.29,0,0,0,0.020,5,0,--
20.11.2019,Laos,Sainyabuli,"6,1",earthquake,tectonic,,VII,19.45,101.34,0,10,125,1.061,537,24,--
,,,"6,1",,,,,,,0,10,125,0.965,288,24,--
,,,"6,1",,,,,,,0,0,,0.518,249,0,--
24.11.2019,China,Yunnan,"4,3",earthquake,tectonic,,,25.97,99.70,0,0,0,0.020,5,0,--
25.11.2019,China,Guangxi,"5,0",earthquake,tectonic,,,22.96,106.71,1,5,1119,1.540,1104,24,--
,,,"5,0",,,,,,,0,0,0,0.038,10,,--
,,,"5,0",,,,,,,1,5,1119,1.539,1094,24,--
25.11.2019,Indonesia,Maluku,4.5,aftershock,tectonic,,,-3.77,128.80,0,1,,0.101,1,,--
26.11.2019,Albania,Durres,"6,4",earthquake,tectonic,,VIII,41.45,19.44,52,3000,32000,3.403,83745,11490,--
,,,"6,4",,,,,,,0,0,0,0.004,1,0,--
26.11.2019,Bosnia-Herzegowina,Srpska,"5,2",earthquake,tectonic,9,VII,43.20,17.96,0,2,,0.469,156,0,--
,,,"5,2",,,,,,,0,0,0,0.004,1,0,--
27.11.2019,Greece,Crete,"6,1",earthquake,tectonic,71,VI,35.58,23.09,0,0,0,0.012,3,0,--
27.11.2019,China,Guangxi,"4,3",aftershock,tectonic,,,22.96,106.71,0,0,0,0.703,439,,--
28.11.2019,Myanmar,Mandalay,"5,2",earthquake,tectonic,,,23.14,96.02,0,0,50,0.480,120,,--
29.11.2019,India,Gujarat,"3,1",earthquake,tectonic,,,20.78,73.32,0,0,0,0.056,15,0,--
29.11.2019,Iran,Khuzestan,"4,9",earthquake,tectonic,13,,32.01,49.83,0,3,0,0.248,1,0,--
08.12.2019,Ecuador,Quito,"4,2",earthquake,tectonic,3,,-0.13,-78.4,0,0,0,0.008,2,0,--
09.12.2019,Italy,Tuscany,"4,5",earthquake,tectonic,9,,44,11.31,0,0,600,1.270,720,,--
10.12.2019,Iran,Kohgiluyeh & Boyer Ahmad,"4,6",earthquake,tectonic,12,,30.95,50.09,0,0,0,0.020,5,0,--
10.12.2019,Turkey,Balikesir,"5,0",earthquake,tectonic,8,,39.44,27.94,0,0,1,0.112,30,0,--
13.12.2019,Spain,Murcia,"3,6",earthquake,Ground Water Extraction,1,,37.86,-1.9,0,0,0,0.004,1,0,--
14.12.2019,India,Maharashtra,"3,8",earthquake,tectonic,5,,19.9,72.8,0,0,,0.116,30,1,--
15.12.2019,Philippines,Davao del Sur,"6,8",earthquake,tectonic,27,VII,6.71,125.19,14,210,131173,3.484,37793,7324,--
16.12.2019,Australia,New South Wales,"4,4",earthquake,tectonic,10,,-32.35,150.84,0,0,0,0.004,1,0,--
18.12.2019,China,Sichuan,"5,2",earthquake,tectonic,14,,29.59,104.82,0,18,47,1.240,607,173,--
20.12.2019,Afghanistan,Badakhshan,"6,1",earthquake,tectonic,206,,36.52,70.57,0,3,0,0.319,35,0,--
,,,"6,1",,,,,,,0,3,,0.309,30,,--
,,,"6,1",,,,,,,0,0,,0.020,5,,--
22.12.2019,Iran,Khuzestan,"5,0",earthquake,tectonic,10,,32.42,48.70,0,0,0,0.056,15,0,--
24.12.2019,Colombia,Departamento del Meta,6.0,earthquake,tectonic,13,VII,3.49,-74,0,0,0,0.121,35,0,--
26.12.2019,Indonesia,Jawa Barat,"4,8",earthquake,tectonic,60,,-7.88,106.81,0,0,5,0.050,0,1,--
26.12.2019,Philippines,Western Visayas,"4,8",earthquake,tectonic,19,,11.15,122.67,0,0,0,0.004,1,0,--
26.12.2019,China,Hubei,4.9,earthquake,tectonic,10,,30.88,113.41,0,1,,0.885,673,7,--
27.12.2019,Iran,Bushehr,4.9,earthquake,tectonic,10,,28.9,51.39,0,0,0,0.020,5,0,--
27.12.2019,Turkey,Elazig,4.9,earthquake,tectonic,5,,38.32,39.06,0,0,0,0.032,5,1,--
28.12.2019,USA,Puerto Rico,"4,7",EQ swarm,tectonic,6,V,"17,937","-66,866",0,0,0,0.012,3,0,--
30.12.2019,Iran,Hormozgan,"5,4",earthquake,tectonic,,,27.28,56.71,0,4,5,0.336,,2,--
30.12.2019,Pakistan,Gilgit-Baltistan,"5,4",earthquake,tectonic,,,35.52,74.68,,,100,0.711,250,,--
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
