Date (UTC),Region / Epicenter,Magnitude,Depth (km),Intensity (MMI),Fatalities,injuries,Damage level,Tsunami height
4/17/2013,"China, Yunnan",5.1,10,,--,10,4,--
4/17/2013,"OS Japan, Izu-Islands",6.2,14,VI,--,3,2,--
4/17/2013,"OS Japan, Honshu",5.8,45,V ,--,2,1,--
4/18/2013,"Brazil, Minas Gerais",3.7,,V,--,--,2,--
4/18/2013,"Iran, East Azerbaijan",5.2,8,,--,4,2,--
4/19/2013,"Russia, Kuriles",7.2,122,VI,--,--,--,20 cm
4/19/2013,"Indonesia, Java",4.8,10,VI,--,2,3,--
4/20/2013,Uganda,5.0,10,,--,,2,--
4/20/2013,"China, Sichuan",7.0,13,VIII,218,15554,5+,--
4/21/2013,Venezuela,4.1,5,,--,--,2,--
4/22/2013,Azerbaijan,3.9,10,,--,--,2,--
4/22/2013,"Mexico, Michoacan",6.0,28,VI,--,--,2,--
4/22/2013,"China, Nei Mongol",5.3,6,,2,13,3,--
4/22/2013,Angola,,,,--,--,3,--
4/22/2013,Hungary,4.8,8,,--,--,2 - 3,--
4/24/2013,Honduras,4.8,17,,--,6,3,--
4/24/2013,"Iran, Esfahan",4.9,21,,--,6,3,--
4/24/2013,Afghanistan  ,6.2,72,,27,150,4,--
4/24/2013,"China, Sichuan",4.8,4,,1,72,3 - 4,--
4/30/2013,"Russia, Tuwa",5.3,17,VI,--,--,2,--
4/30/2013,"Portugal, Azores (France)",5.8,2,VI,--,--,--,cm
4/30/2013,"India, Kashmir",4.3,,,--,--,2,--
4/30/2013,Turkey,3.6,2,,--,--,1 - 2,--
5/1/2013,"India, Kashmir",5.8,15,VII,3,90,5,--
5/1/2013,"Iran, Bushehr",5.2,8,,--,--,3,--
5/2/2013,"Australia, Victoria",3.1,,,--,--,1,--
5/2/2013,Bolivia,3.8,4,IV,--,--,2,--
5/2/2013,"Algeria, Mostaganem",4.3,,V,--,17,2 - 3,--
5/3/2013,"India, Kashmir (aftershock)",3.7,5,,--,--,1 - 2,--
5/4/2013,Turkey,3.2,7,,--,1,--,--
5/4/2013,Turkey,3.6,5,,--,1,--,--
5/8/2013,"Italy, Umbria",3.8,8,,--,--,1 - 2,--
5/9/2013,"Iran, Hormozgan",5.0,10,,--,--,2 - 3,--
5/10/2013,"Iran, North Khorasan",4.2,5,,--,--,2,--
5/11/2013,"Iran, Hormozgan",6.2,15,VIII,1,24,4,--
5/11/2013,Libya,4.7,15,,--,--,2,--
5/12/2013,"Iran, Fars",4.4,10,,--,12,--,--
5/14/2013,"India, Kashmir (aftershock)",4.8,11,,1,--,2,--
5/15/2013,Scotland,2.8,7,III,--,--,1,--
5/18/2013,"Iran, Hormozgan",5.7,8,VII,--,--,3,--
5/19/2013,"OS Algeria, Bejaia",5.1,,,--,7,2 - 3,--
5/21/2013,"Peru, Apurimac",5.7,86,IV,--,--,2,--
5/23/2013,"Algeria, Medea",4.5,,,--,--,2 - 3,--
5/24/2013,"USA, California",5.7,11,VII,--,2,2,--
5/24/2013,"OS Russia, Kamtchatka",8.3,602,V,--,--,2,--
5/24/2013,"Uzbekistan, Tashkent",5.5,17,VII,--,some,3,--
5/26/2013,"Uzbekistan, Samarkand",6.0,19,VII,--,,2 - 3,--
5/26/2013,"OS Algeria, Bejaia",5.0,8,,--,20,3,--
5/27/2013,Panama,5.7,14,VII,--,--,2,--
5/27/2013,"India, Kashmir (aftershock)",,,,--,--,3,--
5/29/2013,USA. California,4.6,7,VI,--,--,1 - 2,--
5/30/2013,"Canada, Quebec",3.5,13,,--,--,1 - 2,--
5/31/2013,"Iran, Hormozgan",4.8,15,,--,--,2,--
6/1/2013,"Philippines, Mindanao",5.7,5,VII,--,33,3,--
6/2/2013,"Taiwan, Nantou",6.3,,VI ,6,20,2 - 3,--
6/2/2013,"Philippines, Mindanao",5.7,3,VI,--,--,3,--
6/2/2013,Poland,"[3,7]",,,--,--,2,--
6/5/2013,Hungary,4.1,10,,--,--,2,--
6/6/2013,Poland,"[3,5]",1,IV,--,--,2,--
6/8/2013,"Mexico, Oaxaca",4.6,86,,--,--,2,--
6/9/2013,"Australia, Northern Territory",5.8,4,VII,--,--,1,--
6/12/2013,"China, Ningxia","[3,3]",,,--,--,2,--
6/12/2013,Turkey,4.6,14,,--,--,2,--
6/13/2013,"Spain, Valencia",3.3,8,IV,--,--,1 - 2,--
6/13/2013,"OS Indonesia, Java",6.7,,,--,--,2,--
6/15/2013,OS Nicaragua,6.6,46,VI,1,6,2,--
6/16/2013,"Mexico, Morelos",6.1,53,V,--,2,2 - 3,--
6/16/2013,"OS Greece, Crete",6.0,,V,--,--,--,3 cm
06/2013,"China, Guangxi","< 3,0",,,--,--,1 - 2,--
6/19/2013,"Mexico, Nuevo Leon",3.8,3,,--,--,2,--
6/19/2013,"Russia, Kemerovo",5.4,4,VII,--,--,3,--
