Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,Tsunami Height
3/26/2014,"Turkey, Malatya",4.1,4,,--,--,1 - 2,--
3/26/2014,"China, Hubei",4.2,5,,--,--,2,--
3/28/2014,OS Nicaragua,5.2,,,--,--,1,--
3/29/2014,"USA, California (Los Angeles Area)",5.1,2,VIII,--,1,2,--
3/29/2014,"China, Hubei",4.7,5,,--,--,2 - 3,--
3/29/2014,"USA, California (Los Angeles area, aftershock)",4.1,1,VI,--,--,1,--
3/30/2014,"USA, Oklahoma",4.3,5,V ,--,--,1,--
3/30/2014,"Germany, Hessen",3.2,8,,--,--,1,--
3/30/2014,"China, Xizang",5.5,10,,--,--,2,--
3/31/2014,"Indonesia, Sumatra",5.4,10,,--,--,2,--
3/31/2014,Papua New Guinea,5.6,,VII,--,--, 1 - 2,--
4/1/2014,"Iran, Kerman",4.4,10,VI,--,--,1 - 2,--
4/1/2014,"OS Chile, Tarapaca",8.2,20,VII,7,28,4 - 5,"2,11 m"
4/1/2014,"Brazil, Minas Gerais",3.4,,,--,--,1,--
4/2/2014,"Indonesia, Java",4.5,,,--,--,2,--
4/2/2014,Poland,"[3,8]",1,,--,3,,--
4/2/2014,OS Panama,5.8,,V,--,--,1 - 2,--
4/3/2014,"OS Chile, Tarapaca",7.6,28,VIII,2,,3,74 cm
4/3/2014,"China, Shandong",4,9,,--,--,1 - 2,--
4/4/2014,Solomon Islands,6.1,90,VI,--,--,2,--
4/4/2014,"OS Greece, Peloponnese",5.4,111,,--,--,1 - 2,--
4/4/2014,"China, Yunnan",5.3,13,VII,--,37,5,--
4/5/2014,"OS Italy, Calabria",5.0,66,,--,--,1 - 2,--
4/6/2014,"Brazil, Minas Gerais",4.2,3,,--,1,2,--
4/6/2014,"Russia, Altai",5.7,,,--,--,2,--
4/7/2014,"USA, Oregon",3.3,19,IV,--,--,1,--
4/7/2014,"France, Alpes - Cote d'Azur",5.0,,,--,--,2 - 3,--
4/8/2014,"Brazil, Minas Gerais",3.2,,,--,--,1,--
4/10/2014,Nicaragua (Managua Area),6.1,10,VIII,1,266,5,--
4/11/2014,"China, Sichuan",4.8,17,,--,--,1 - 2,--
4/11/2014,OS Papua New Guinea,7.3,54,VIII,2,,3 - 4,23 cm
4/11/2014,Nicaragua,6.6,138,VI ,--,--,3,--
4/12/2014,OS Solomon Islands,7.6,34,VII ,1,few,3,2 m
4/13/2014,OS Solomon Islands,7.4,,VII,,,2,16 cm
4/14/2014,Nicaragua (aftershock),5.6,,,1,4,3,--
4/17/2014,Austria,4.1,,,--,--,1 - 2,--
4/18/2014,"Mexico, Guerrero",7.2,24,VII,--,1,4,40 cm
4/19/2014,OS Papua New Guinea,7.5,,VII,,1,3,1 m?
4/19/2014,"India, Karnataka",1.4,,,--,--,1,--
4/19/2014,Nicaragua,4.6,30,,--,--,2,--
4/20/2014,"China, Anhui",4.3,10,,--,--,2,--
4/22/2014,"Slovenia,Pivka",4.4,2,V,--,--,1 - 2,--
4/24/2014,Dominican Republic,,,,--,2,1,--
4/25/2014,"China, Guangdong",[3.8],,,--,--,1,--
4/29/2014,"France, Midi-Pyrenees",4.7,,,--,--,1,--
5/1/2014,"Germany, Lower Saxony","[3,1]",9,,--,--,1,--
5/1/2014,Turkey,4.2,,,--,--,1 - 2,--
5/2/2014,"OS Indonesia, Maluku",5.7,,V,--,3,2 - 3,--
5/3/2014,"USA, Alaska",5.6,10,VI,--,--,1 - 2,--
5/4/2014,"China, Xinjiang",4.9,,,--,--,2,--
5/4/2014,"OS Japan, Honshu (Tokyo Area)",6.2,160,JMA 5+,--,17,--,--
5/5/2014,"Thailand, Chiang Rai",6.3,7,VIII,1,32,4,--
05/2014,"Thailand, Chiang Rai (aftershocks)","< 5,6",,,--,1,3,--
5/7/2014,"China, Yunnan",4.7,13,,--,2,2 - 3,--
5/8/2014,"Mexico, Guerrero",6.6,24,VI,--,--,3,--
5/8/2014,"Indonesia, Java","< 4,3",5,,--,--,2,--
5/8/2014,Pakistan,5,15,,2,100,3 - 4,--
5/12/2014,Morocco,4.3,,,--,--,2,--
5/13/2015,OS Panama,6.8,,V,--,--,2,--
5/15/2014,Vietnam,4.7,,,--,--,2,--
5/15/2014,"Peru, La Libertad",5.8,,,--,2,1,--
5/16/2014,Pakistan,5.1,78,,--,--,1,--
5/17/2014,"Germany, Hessen",4.2,5,VI ,--,--,2,--
5/19/2014,"Albania, Cerrik ",5.2,18,VII,--,--,3,--
5/20/2014,"Albania, Cerrik (aftershock)",4.5,12,,--,--,2,--
5/21/2014,"Taiwan, Hualien",5.9,18,CWB 6,--,3,2,--
5/21/2014,"Mexico, Chiapas",5.8,120,,--,--,1 - 2,--
5/21/2014,"Iran, Bushehr",5.4,19,,--,--,2,--
5/21/2014,"OS India, Odisha",6,,,2,250,3,--
5/22/2014,"Algeria, Mostaganem",5.2,,,--,--,2,--
5/23/2014,"China, Yunnan",5.6,12,,--,15,3 - 4,--
5/24/2014,"Mexico, Oaxaca",5.4,12,,--,--,2,--
5/24/2014,"OS Greece, Lemnos",6.9,24,VII,--,324,3,--
5/24/2014,Czech Republic,3.9,5,IV,--,--,1,--
5/24/2014,Jordan/Israel,4.1,10,,--,--,1,--
5/26/2014,"China, Hubei","[3,4]",5,,--,--,1 - 2,--
5/27/2014,"China, Hubei",[4],7,,--,--,2,--
5/28/2014,OS Dominican Republic,5.8,91,V,--,--,2,--
