Date (UTC),Epicenter,Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
2/18/2020,China,Shandong,4.1,earthquake,tectonic,10,,36.47,116.64,0,0,0,0.011834025,3,0,--
2/18/2020,Turkey,Manisa,4.9,EQ Sequence,tectonic,12,,39.11,27.82,0,0,,0.164469321,50,,--
2/22/2020,Turkey,Konya,4.5,earthquake,tectonic,15,,37.39,31.48,0,8,5,0.509381218,9,1,--
2/23/2020,Iran,West Azerbaijan,5.7,earthquake,tectonic,6,,38.52,44.59,10,172,16792,2.788815316,6567,6156,--
2/24/2020,Italy,Calabria,4.4,earthquake,tectonic,10,,39.33,16.21,0,1,0,0.209920492,40,,--
2/25/2020,Peru,La Libertad,5.3,earthquake,tectonic,32,,-8.06,-79.95,0,0,150,0.655345654,50,10,--
2/25/2020,Iran,Hormozgan,4.1,aftershock,tectonic,9,,26.77,55.82,0,0,0,0.019547943,5,,--
2/25/2020,Turkey,Malatya,5,aftershock,tectonic,5,,38.33,38.77,0,6,,0.405998795,3,,--
2/27/2020,India,Kerala,2.1,earthquake,reservoir induced,,,9.79,76.88,0,0,0,0.056187092,15,,--
2/28/2020,Pakistan,Khyber Pakhtunkwar,4.7,earthquake,tectonic,16,,35.26,71.79,0,0,0,0.003980612,1,0,--
3/1/2020,Philippines,Western Visayas,5.3,earthquake,tectonic,9,,11.33,124.54,0,0,0,0.023354122,6,0,--
3/3/2020,Peru,Arequipa,4.9,earthquake,tectonic,35,,-16.55,-73.5,0,0,0,0.003980612,1,0,--
3/4/2020,Myanmar,Sagaing,5,earthquake,tectonic,5,,24.44,96.16,0,0,0,0.085247949,10,4,--
3/5/2020,Argentina,La Rioja,5.5,earthquake,tectonic,115,,-28.41,-67.5,0,0,0,0.019547943,5,0,--
3/5/2020,India,Kerala,,earthquake,reservoir induced,,,9.79,76.88,0,0,0,0.003980612,1,0,--
3/6/2020,China,Sichuan,3.9,earthquake,tectonic,13,,32.62,105.39,0,0,0,0.003980612,1,0,--
3/6/2020,Canada,Quebec,3.3,earthquake,tectonic,12,,45.62,-73.51,0,0,0,0.019547943,5,0,--
3/6/2020,Iran,West Azerbaijan,4.5,aftershock,tectonic,6,,38.58,44.58,0,0,0,0.038253784,10,0,--
