Date (UTC),"Country, Region (Epicenter)",Country,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsu. height
12.12.2016,"OS Ecuador, Esmeraldas (aftershock)",Ecuador,5.1,,,--,1,1,1,0,--
13.12.2016,"Azerbaijan, Quba",Azerbaijan,4.4,,,--,--,1 - 2,,,--
14.12.2016,"China, Xinjiang",China,5.0,,,--,--,3,100,30,--
14.12.2016,"Guinea, Labé",Guinea,,,,--,--,1 - 2,,,--
15.12.2016,"Peru, Puno (aftershock)",Peru,4.5,,V ,--,--,3,,19,--
15.12.2016,"OS Taiwan, Taitung",Tainan,5.2,,,--,--,1,1,0,--
16.12.2016,"Poland, Lower Silesia",Poland,4.6,1,VII,--,--,1,,,--
16.12.2016,"Turkey, Erzincan",Turkey,4.5,5,,--,--,1 - 2,,,--
17.12.2016,"OS Papua New Guinea, New Ireland",Papua New Guinea,7.9,103,VIII,--,--,1 - 2,,,130 cm
17.12.2016,"Pakistan, Azad Kashmir",Pakistan,4.6,,,--,1,3,,,--
18.12.2016,"China, Shanxi",China,4.3,5,,--,--,1,,,--
19.12.2016,"OS Ecuador, Esmeraldas (aftershock)",Ecuador,5.3,,,3,47,4,700,145,--
20.12.2016,"China, Xinjiang",China,5.8,,,--,--,3,816,10,--
22.12.2016,"Germany, Rhineland-Palatine",Germany,2.8,,IV,--,--,1,1,0,--
23.12.2016,"Netherlands, Drenthe",Netherlands,[2.4],3,,--,--,1,5,0,--
25.12.2016,"OS Chile, Los Lagos",Chile,7.6,30,VIII,--,1,3,64,36,8 cm
27.12.2016,"China, Chongqing",China,4.8,10,,--,2,3,409,12,--
27.12.2016,"Iran, Kerman",Iran,4.7,,,--,--,1 - 2,,,--
27.12.2016,"Iran, Semnan",Iran,4.9,12,,--,--,3,898,3,--
27.12.2016,"Romania, Vrancea",Romania,5.4,98,,--,--,1,,,--
28.12.2016,"Japan, Ibaraki",Japan,6.3,9,JMA 6-,,2,1,5,,--
28.12.2016,"USA, Nevada",USA,5.7,12,VII,--,--,1,,,--
29.12.2016,"OS Indonesia, East Nusa Tenggera",Indonesia,6.6,91,VI,1,--,,,0,--
,,,,,,,,,,,
,,,,,,,,,,,
